Timestamp,DateTime,Signal Direction,Price 0.01% Pool,Price 0.05% Pool,Spread,Spread %,Expected Profit %,Trade Amount USDC,Safety Passed,Safety Errors,Safety Warnings,SOL Balance,USDC Balance,Executed,Dry Run,Swap1 Pool,Swap1 Success,Swap1 Amount In,Swap1 Amount Out,Swap1 Signature,Swap1 Error,Swap2 Pool,Swap2 Success,Swap2 Amount In,Swap2 Amount Out,Swap2 Signature,Swap2 Error,Actual Profit USDC,Actual Profit %,Failure Reason,Failure Stage
1767020194107,2025-12-29 08:26:34.107 PM,pool1-to-pool2,0,0,0,NaN,1.0770103831533542,480,false,Insufficient SOL: 0.000000 < 0.01 required; USDC token account not found or not initialized,High slippage: 3.00% (max: 3.00%); Trade amount 480 USDC uses >90% of balance,0,0,false,true,7qbRF6YsyGuLUVs6Y1q64bdVrfe4ZcUUz1JRdoVNUJnm,false,0,0,,,83v8iPyZihDEjDdY8RdZddyZNyUtXngz69Lgo9Kt5d6d,false,0,0,,,0,0,Insufficient SOL: 0.000000 < 0.01 required; USDC token account not found or not initialized,safety
1767020194819,2025-12-29 08:26:34.819 PM,pool1-to-pool2,0,0,0,NaN,1.0770103831533542,480,false,Insufficient SOL: 0.000000 < 0.01 required; USDC token account not found or not initialized,High slippage: 3.00% (max: 3.00%); Trade amount 480 USDC uses >90% of balance,0,0,false,true,7qbRF6YsyGuLUVs6Y1q64bdVrfe4ZcUUz1JRdoVNUJnm,false,0,0,,,83v8iPyZihDEjDdY8RdZddyZNyUtXngz69Lgo9Kt5d6d,false,0,0,,,0,0,Insufficient SOL: 0.000000 < 0.01 required; USDC token account not found or not initialized,safety
1767020195474,2025-12-29 08:26:35.474 PM,pool1-to-pool2,0,0,0,NaN,1.0770103831533542,480,false,Insufficient SOL: 0.000000 < 0.01 required; USDC token account not found or not initialized,High slippage: 3.00% (max: 3.00%); Trade amount 480 USDC uses >90% of balance,0,0,false,true,7qbRF6YsyGuLUVs6Y1q64bdVrfe4ZcUUz1JRdoVNUJnm,false,0,0,,,83v8iPyZihDEjDdY8RdZddyZNyUtXngz69Lgo9Kt5d6d,false,0,0,,,0,0,Insufficient SOL: 0.000000 < 0.01 required; USDC token account not found or not initialized,safety
1767020196215,2025-12-29 08:26:36.215 PM,pool1-to-pool2,0,0,0,NaN,1.0770103831533542,480,false,Insufficient SOL: 0.000000 < 0.01 required; USDC token account not found or not initialized,High slippage: 3.00% (max: 3.00%); Trade amount 480 USDC uses >90% of balance,0,0,false,true,7qbRF6YsyGuLUVs6Y1q64bdVrfe4ZcUUz1JRdoVNUJnm,false,0,0,,,83v8iPyZihDEjDdY8RdZddyZNyUtXngz69Lgo9Kt5d6d,false,0,0,,,0,0,Insufficient SOL: 0.000000 < 0.01 required; USDC token account not found or not initialized,safety
1767020197331,2025-12-29 08:26:37.331 PM,pool1-to-pool2,0,0,0,NaN,1.0770103831533542,480,false,Insufficient SOL: 0.000000 < 0.01 required; USDC token account not found or not initialized,High slippage: 3.00% (max: 3.00%); Trade amount 480 USDC uses >90% of balance,0,0,false,true,7qbRF6YsyGuLUVs6Y1q64bdVrfe4ZcUUz1JRdoVNUJnm,false,0,0,,,83v8iPyZihDEjDdY8RdZddyZNyUtXngz69Lgo9Kt5d6d,false,0,0,,,0,0,Insufficient SOL: 0.000000 < 0.01 required; USDC token account not found or not initialized,safety
1767020198355,2025-12-29 08:26:38.355 PM,pool1-to-pool2,0,0,0,NaN,1.0770103831533542,480,false,Insufficient SOL: 0.000000 < 0.01 required; USDC token account not found or not initialized,High slippage: 3.00% (max: 3.00%); Trade amount 480 USDC uses >90% of balance,0,0,false,true,7qbRF6YsyGuLUVs6Y1q64bdVrfe4ZcUUz1JRdoVNUJnm,false,0,0,,,83v8iPyZihDEjDdY8RdZddyZNyUtXngz69Lgo9Kt5d6d,false,0,0,,,0,0,Insufficient SOL: 0.000000 < 0.01 required; USDC token account not found or not initialized,safety
1767020199462,2025-12-29 08:26:39.462 PM,pool1-to-pool2,0,0,0,NaN,1.0770103831533542,480,false,Insufficient SOL: 0.000000 < 0.01 required; USDC token account not found or not initialized,High slippage: 3.00% (max: 3.00%); Trade amount 480 USDC uses >90% of balance,0,0,false,true,7qbRF6YsyGuLUVs6Y1q64bdVrfe4ZcUUz1JRdoVNUJnm,false,0,0,,,83v8iPyZihDEjDdY8RdZddyZNyUtXngz69Lgo9Kt5d6d,false,0,0,,,0,0,Insufficient SOL: 0.000000 < 0.01 required; USDC token account not found or not initialized,safety
1767020201074,2025-12-29 08:26:41.074 PM,pool1-to-pool2,0,0,0,NaN,1.0770103831533542,480,false,Insufficient SOL: 0.000000 < 0.01 required; USDC token account not found or not initialized,High slippage: 3.00% (max: 3.00%); Trade amount 480 USDC uses >90% of balance,0,0,false,true,7qbRF6YsyGuLUVs6Y1q64bdVrfe4ZcUUz1JRdoVNUJnm,false,0,0,,,83v8iPyZihDEjDdY8RdZddyZNyUtXngz69Lgo9Kt5d6d,false,0,0,,,0,0,Insufficient SOL: 0.000000 < 0.01 required; USDC token account not found or not initialized,safety
1767020203447,2025-12-29 08:26:43.447 PM,pool1-to-pool2,0,0,0,NaN,1.0770103831533542,480,false,Insufficient SOL: 0.000000 < 0.01 required; USDC token account not found or not initialized,High slippage: 3.00% (max: 3.00%); Trade amount 480 USDC uses >90% of balance,0,0,false,true,7qbRF6YsyGuLUVs6Y1q64bdVrfe4ZcUUz1JRdoVNUJnm,false,0,0,,,83v8iPyZihDEjDdY8RdZddyZNyUtXngz69Lgo9Kt5d6d,false,0,0,,,0,0,Insufficient SOL: 0.000000 < 0.01 required; USDC token account not found or not initialized,safety
1767020204966,2025-12-29 08:26:44.966 PM,pool1-to-pool2,0,0,0,NaN,1.0770103831533542,480,false,Insufficient SOL: 0.000000 < 0.01 required; USDC token account not found or not initialized,High slippage: 3.00% (max: 3.00%); Trade amount 480 USDC uses >90% of balance,0,0,false,true,7qbRF6YsyGuLUVs6Y1q64bdVrfe4ZcUUz1JRdoVNUJnm,false,0,0,,,83v8iPyZihDEjDdY8RdZddyZNyUtXngz69Lgo9Kt5d6d,false,0,0,,,0,0,Insufficient SOL: 0.000000 < 0.01 required; USDC token account not found or not initialized,safety
